PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$,own% ownership
Devin Duvernay,WR,JAX,CLE,-174,42,-3.5,22.75,3000,0.79,0.3,0,0.1,0.5,0.6,0.2,0
Devin Culp,TE,TB,DET,261,51.5,7,22.25,2500,0.67,0.3,0,0,0.4,0.4,0.2,0
Troy Franklin,WR,DEN,PIT,132,36.5,3,16.75,3000,0.82,0.3,0,0,0.5,0.5,0.2,0
Zach Pascal,WR,ARI,LAR,-123,49.5,-1.5,25.5,3000,0.75,0.3,0,0,0.4,0.4,0.1,0
Jermaine Burton,WR,CIN,KC,208,47.5,6,20.75,3500,1.2,0.3,0,0,0.7,0.7,0.2,0
Kimani Vidal,RB,LAC,CAR,-283,39,-6.5,22.75,4200,1.31,0.3,0,1.3,0.3,1.6,0.4,0
Dallin Holker,TE,NO,DAL,238,46,6.5,19.75,2500,0.65,0.3,0,0,0.4,0.4,0.2,0
Skyy Moore,WR,KC,CIN,-258,47.5,-6,26.75,3000,0.79,0.3,0,0,0.4,0.4,0.1,0
Connor Heyward,TE,PIT,DEN,-157,36.5,-3,19.75,2500,0.66,0.3,0,0,0.5,0.5,0.2,0
Mecole Hardman,WR,KC,CIN,-258,47.5,-6,26.75,3000,1.05,0.3,0,0.2,0.7,0.9,0.3,0
Raheem Blackshear,RB,CAR,LAC,228,39,6.5,16.25,4000,1.18,0.3,0,0.8,0.7,1.5,0.4,0
Charlie Jones,WR,CIN,KC,208,47.5,6,20.75,3000,1.02,0.3,0,0,0.6,0.6,0.2,0
Ameer Abdullah,RB,LV,BAL,358,41.5,9.5,16,4000,0.75,0.2,0,0.6,0.4,1,0.3,0
Jaheim Bell,TE,NE,SEA,149,38,3.5,17.25,2500,0.6,0.2,0,0,0.4,0.4,0.2,0
Charlie Kolar,TE,BAL,LV,-468,41.5,-9.5,25.5,2500,0.61,0.2,0,0,0.4,0.4,0.2,0
Brenden Rice,WR,LAC,CAR,-283,39,-6.5,22.75,3000,0.67,0.2,0,0,0.4,0.4,0.1,0
Scotty Miller,WR,PIT,DEN,-157,36.5,-3,19.75,3000,0.7,0.2,0,0.1,0.5,0.6,0.2,0
Jamari Thrash,WR,CLE,JAX,145,42,3.5,19.25,3000,0.63,0.2,0,0,0.4,0.4,0.1,0
Craig Reynolds,RB,DET,TB,-332,51.5,-7,29.25,4000,0.83,0.2,0,0.6,0.3,0.9,0.2,0
DeeJay Dallas,RB,ARI,LAR,-123,49.5,-1.5,25.5,4000,0.76,0.2,0,0.6,0.4,1,0.3,0
Dylan Laube,RB,LV,BAL,358,41.5,9.5,16,4000,0.66,0.2,0,0.8,0.2,1,0.3,0
Malik Heath,WR,GB,IND,145,40.5,3.5,18.5,3000,0.54,0.2,0,0,0.3,0.3,0.1,0
John Bates,TE,WAS,NYG,-126,44,-1.5,22.75,2500,0.58,0.2,0,0,0.4,0.4,0.2,0
Carson Steele,RB,KC,CIN,-258,47.5,-6,26.75,4000,0.69,0.2,0,1.8,0,1.8,0.5,0
D'Ernest Johnson,RB,JAX,CLE,-174,42,-3.5,22.75,4600,0.64,0.1,0,0.9,0.2,1.1,0.2,0
Cody Schrader,RB,LAR,ARI,103,49.5,1.5,24,4000,0.28,0.1,0,0.3,0.1,0.4,0.1,0
Sean Tucker,RB,TB,DET,261,51.5,7,22.25,4200,0.46,0.1,0,0.5,0.2,0.7,0.2,0
Patrick Taylor,RB,SF,MIN,-268,45.5,-6,25.75,4300,0.34,0.1,0,0.2,0.2,0.4,0.1,0
Kenny McIntosh,RB,SEA,NE,-180,38,-3.5,20.75,4300,0.5,0.1,0,0.7,0.2,0.9,0.2,0
Erick All,TE,CIN,KC,208,47.5,6,20.75,2500,0.21,0.1,0,0,0.2,0.2,0.1,0
